2025-10-07 21:37:09,951 - __main__ - INFO - ================================================================================
2025-10-07 21:37:09,951 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 21:37:09,951 - __main__ - INFO - ================================================================================
2025-10-07 21:38:52,949 - __main__ - INFO - ================================================================================
2025-10-07 21:38:52,950 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 21:38:52,950 - __main__ - INFO - ================================================================================
2025-10-07 21:40:19,135 - __main__ - INFO - ================================================================================
2025-10-07 21:40:19,136 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 21:40:19,136 - __main__ - INFO - ================================================================================
2025-10-07 21:40:19,136 - __main__ - ERROR - Configuration error: Configuration validation failed:
  - LLM_API_KEY (Gemini) required (get from https://aistudio.google.com/apikey)
2025-10-07 22:36:50,786 - __main__ - INFO - ================================================================================
2025-10-07 22:36:50,786 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 22:36:50,786 - __main__ - INFO - ================================================================================
2025-10-07 22:36:50,794 - __main__ - INFO - Initializing HybridBail components...
2025-10-07 22:36:51,944 - qdrant_database - INFO - Connected to Qdrant at localhost:6333
2025-10-07 22:42:59,878 - __main__ - INFO - ================================================================================
2025-10-07 22:42:59,878 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 22:42:59,878 - __main__ - INFO - ================================================================================
2025-10-07 22:42:59,878 - __main__ - INFO - Initializing HybridBail components...
2025-10-07 22:43:00,221 - qdrant_database - INFO - Connected to Qdrant at localhost:6333
2025-10-07 22:43:06,895 - llm_integration - INFO - Initialized Gemini: gemini-2.0-flash-exp
2025-10-07 22:43:22,346 - __main__ - INFO - 
============================================================
2025-10-07 22:43:22,347 - __main__ - INFO - Processing category: Anticipatory Bail
2025-10-07 22:43:22,347 - __main__ - INFO - ============================================================
2025-10-07 22:43:22,349 - pdf_ingester - INFO - Found 50 PDF files in C:\\Me\\Main Bail Cases Folder\anticipatory bail
2025-10-07 22:43:23,631 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,631 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,631 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,632 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,632 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,632 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,633 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,634 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,635 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,635 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,636 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,636 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,636 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,637 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,637 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,638 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,638 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,639 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,036 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,036 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,037 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,037 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,037 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,037 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,037 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,038 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,038 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,038 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,038 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,038 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,038 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,038 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,039 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,039 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,039 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,039 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,039 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,039 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,039 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,039 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,040 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,040 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,040 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,040 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,040 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,040 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,040 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,041 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,041 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,041 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,041 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,042 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,042 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,042 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,042 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,042 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,043 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,043 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:24,043 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:27,929 - __main__ - INFO - ================================================================================
2025-10-07 22:43:27,930 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 22:43:27,930 - __main__ - INFO - ================================================================================
2025-10-07 22:43:27,930 - __main__ - INFO - Initializing HybridBail components...
2025-10-07 22:43:28,285 - qdrant_database - INFO - Connected to Qdrant at localhost:6333
2025-10-07 22:43:28,744 - llm_integration - INFO - Initialized Gemini: gemini-2.0-flash-exp
2025-10-07 22:44:50,257 - __main__ - INFO - 
============================================================
2025-10-07 22:44:50,258 - __main__ - INFO - Processing category: Anticipatory Bail
2025-10-07 22:44:50,258 - __main__ - INFO - ============================================================
2025-10-07 22:44:50,259 - pdf_ingester - INFO - Found 50 PDF files in C:\\Me\\Main Bail Cases Folder\anticipatory bail
2025-10-07 22:44:50,312 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,313 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,313 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,314 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,314 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,315 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,315 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,761 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,762 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,762 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,762 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,763 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,763 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,763 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,808 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,809 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,809 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,810 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,810 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,811 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,811 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,811 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,812 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,812 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,812 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,812 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,813 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,813 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,813 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,814 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,814 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,814 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,815 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,815 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,816 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,816 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,817 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,817 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,817 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,818 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,818 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,818 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,819 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,819 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,819 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,820 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,820 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,820 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,821 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,821 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,821 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,822 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,822 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,822 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:50,822 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,041 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,041 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,041 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,042 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,042 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,042 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,042 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,043 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,043 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,043 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,043 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,043 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,043 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,043 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,044 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,044 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,044 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,044 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,044 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,044 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,044 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,045 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,045 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,045 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,045 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,045 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,045 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,045 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,045 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,045 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,045 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,046 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,046 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,046 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,046 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,046 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,046 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,047 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,047 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,047 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,047 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,085 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,086 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,087 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,087 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,087 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,089 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,089 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,089 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,089 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,090 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,090 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,090 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,091 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,091 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,092 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,092 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,092 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:44:52,093 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
